"url","name","locality","cuisine","price_per_person","overall_rating","food","service","ambiance","reviews","noise","dining_style"
"https://www.kayak.com/New-York-Restaurants-Chote-Nawab.100019367.rd.ksp","Chote Nawab","Midtown","Indian","$30 and under","4.2","4.3","3.9","3.7","1197","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Porter-House-Bar-and-Grill.100019419.rd.ksp","Porter House Bar and Grill","Midtown","American","$50 and over","4.6","4.6","4.5","4.6","464","Moderate","Casual Elegant"
"https://www.kayak.com/New-York-Restaurants-Valbella-Midtown.100019432.rd.ksp","Valbella Midtown","Midtown","Italian","$31 to $50","4.5","4.5","4.6","4.4","2937","Moderate","Casual Elegant"
"https://www.kayak.com/New-York-Restaurants-Storico.100019445.rd.ksp","Storico","Upper West Side","Contemporary Italian","$31 to $50","4.1","4.1","3.9","4.2","143","Moderate","Casual Elegant"
"https://www.kayak.com/New-York-Restaurants-Italianissimo.100019585.rd.ksp","Italianissimo","Upper East Side","Italian","$30 and under","4.7","4.7","4.7","4.6","48","Moderate","Casual Elegant"
"https://www.kayak.com/New-York-Restaurants-Eleven-B.100019586.rd.ksp","Eleven B","East Village","Italian","$30 and under","4.4","4.3","4.3","4.3","351","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Joe-G-Restaurant.100019630.rd.ksp","Joe G Restaurant","Midtown","Italian","$30 and under","4.2","4.1","4.3","3.9","897","Moderate","Casual Elegant"
"https://www.kayak.com/New-York-Restaurants-The-Smith-Midtown.100019644.rd.ksp","The Smith - Midtown","Midtown","American","$30 and under","4.6","0.0","4.5","4.3","1228","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Da-Tommaso-NYC.100019662.rd.ksp","Da Tommaso NYC","Hell's Kitchen","Italian","$30 and under","4.6","4.6","4.7","4.5","110","Moderate","Casual Elegant"
"https://www.kayak.com/New-York-Restaurants-Mediterraneo.100019688.rd.ksp","Mediterraneo","Upper East Side","Italian","$30 and under","4.7","4.7","4.6","4.5","84","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Taverna-Di-Bacco.100019708.rd.ksp","Taverna Di Bacco","Lower East Side","Italian","$31 to $50","4.5","4.5","4.5","4.4","886","Moderate","Casual Elegant"
"https://www.kayak.com/New-York-Restaurants-El-Porron.100019766.rd.ksp","El Porron","Upper East Side","Tapas / Small Plates","$31 to $50","4.4","4.3","4.3","4.2","2571","Moderate","Casual Elegant"
"https://www.kayak.com/New-York-Restaurants-La-Mirabelle.100019861.rd.ksp","La Mirabelle","Upper West Side","French","$31 to $50","4.4","4.4","4.5","4.2","4371","Moderate","Casual Elegant"
"https://www.kayak.com/New-York-Restaurants-VinoTapa.100019896.rd.ksp","VinoTapa","Midtown","Tapas / Small Plates","$30 and under","4.6","4.3","4.7","4.5","40","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Bistro-Vendome-NYC.100019918.rd.ksp","Bistro Vendome - NYC","Midtown","French","$31 to $50","4.7","4.8","4.6","4.5","194","Moderate","Casual Elegant"
"https://www.kayak.com/New-York-Restaurants-YEFSI.100019922.rd.ksp","YEFSI","Upper East Side","Greek","$50 and over","4.4","4.4","4.3","4.2","109","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Cafe-Select.100019929.rd.ksp","Cafe Select","SoHo","Swiss","$30 and under","4.5","4.4","4.1","4.4","3185","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Bar-Italia.100020053.rd.ksp","Bar Italia","Upper East Side","Italian","$31 to $50","4.8","4.8","4.8","4.7","193","Moderate","Casual Elegant"
"https://www.kayak.com/New-York-Restaurants-Il-Buco-Alimentari-Vineria.100020064.rd.ksp","Il Buco Alimentari & Vineria","NoHo","Italian","$31 to $50","4.5","4.5","4.2","4.2","13038","Moderate","Casual Elegant"
"https://www.kayak.com/New-York-Restaurants-Lillie-s-Times-Square.100020098.rd.ksp","Lillie's Times Square","Midtown","American","$30 and under","4.3","4.0","4.1","4.5","4917","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-ABA-Turkish-Restaurant.100020136.rd.ksp","ABA Turkish Restaurant","Hell's Kitchen","Turkish","$30 and under","4.5","4.6","4.4","4.1","69","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Sugar-Bar.100020137.rd.ksp","Sugar Bar","Upper West Side","Comfort food","$30 and under","4.4","4.4","4.4","4.4","58","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Il-Brigante-Restaurant.100020169.rd.ksp","Il Brigante Restaurant","Financial District","Italian","$30 and under","4.5","4.5","4.3","4.2","1576","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Sons-of-Essex.100020189.rd.ksp","Sons of Essex","Lower East Side","American","$30 and under","4.5","4.5","4.5","4.5","19","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Connolly-s-Pub-and-Restaurant-45th.100020311.rd.ksp","Connolly's Pub and Restaurant - 45th","Midtown","American","$30 and under","4.5","4.4","4.6","4.5","112","Moderate","Casual Dining"
